家賃(万円),初期投資(取得費を家賃連動),12ヶ月目稼働率(ランプは目標と同じ形で比例),平均単価,清掃(円/回),12ヶ月累積営業損益,回収月,12ヶ月以内に回収
6,1035714,50%,3000,2000,2174531,8,OK
6,1035714,50%,3100,1500,2596078,8,OK
6,1035714,50%,3100,2000,2325141,8,OK
7,1100000,30%,2200,1500,120356,28,
7,1100000,30%,2200,2000,-42206,38,
7,1100000,30%,2300,1500,210722,25,
7,1100000,30%,2300,2000,48159,32,
7,1100000,30%,2400,1500,301087,22,
7,1100000,30%,2400,2000,138525,27,
7,1100000,30%,2500,1500,391453,20,
7,1100000,30%,2500,2000,228891,24,
7,1100000,30%,2600,1500,481819,18,
7,1100000,30%,2600,2000,319256,21,
7,1100000,30%,2700,1500,572184,17,
7,1100000,30%,2700,2000,409622,20,
7,1100000,30%,2800,1500,662550,16,
7,1100000,30%,2800,2000,499987,18,
7,1100000,30%,2900,1500,752916,15,
7,1100000,30%,2900,2000,590353,17,
7,1100000,30%,3000,1500,843281,14,
7,1100000,30%,3000,2000,680719,16,
7,1100000,30%,3100,1500,933647,14,
7,1100000,30%,3100,2000,771084,15,
7,1100000,35%,2200,1500,370416,20,
7,1100000,35%,2200,2000,180759,26,
7,1100000,35%,2300,1500,475842,18,
7,1100000,35%,2300,2000,286186,22,
7,1100000,35%,2400,1500,581269,17,
7,1100000,35%,2400,2000,391612,20,
7,1100000,35%,2500,1500,686695,16,
7,1100000,35%,2500,2000,497039,18,
7,1100000,35%,2600,1500,792122,15,
7,1100000,35%,2600,2000,602466,17,
7,1100000,35%,2700,1500,897548,14,
7,1100000,35%,2700,2000,707892,15,
7,1100000,35%,2800,1500,1002975,13,
7,1100000,35%,2800,2000,813319,14,
7,1100000,35%,2900,1500,1108402,12,OK
7,1100000,35%,2900,2000,918745,14,
7,1100000,35%,3000,1500,1213828,12,OK
7,1100000,35%,3000,2000,1024172,13,
7,1100000,35%,3100,1500,1319255,11,OK
7,1100000,35%,3100,2000,1129598,12,OK
7,1100000,40%,2200,1500,620475,16,
7,1100000,40%,2200,2000,403725,20,
7,1100000,40%,2300,1500,740962,15,
7,1100000,40%,2300,2000,524213,18,
7,1100000,40%,2400,1500,861450,14,
7,1100000,40%,2400,2000,644700,16,
7,1100000,40%,2500,1500,981938,13,
7,1100000,40%,2500,2000,765188,15,
7,1100000,40%,2600,1500,1102425,12,OK
7,1100000,40%,2600,2000,885675,14,
7,1100000,40%,2700,1500,1222912,12,OK
7,1100000,40%,2700,2000,1006162,13,
7,1100000,40%,2800,1500,1343400,11,OK
7,1100000,40%,2800,2000,1126650,12,OK
7,1100000,40%,2900,1500,1463888,11,OK
7,1100000,40%,2900,2000,1247138,12,OK
7,1100000,40%,3000,1500,1584375,10,OK
7,1100000,40%,3000,2000,1367625,11,OK
7,1100000,40%,3100,1500,1704862,10,OK
7,1100000,40%,3100,2000,1488112,11,OK
7,1100000,45%,2200,1500,870534,14,
7,1100000,45%,2200,2000,626691,16,
7,1100000,45%,2300,1500,1006083,13,
7,1100000,45%,2300,2000,762239,15,
7,1100000,45%,2400,1500,1141631,12,OK
7,1100000,45%,2400,2000,897788,14,
7,1100000,45%,2500,1500,1277180,12,OK
7,1100000,45%,2500,2000,1033336,13,
7,1100000,45%,2600,1500,1412728,11,OK
7,1100000,45%,2600,2000,1168884,12,OK
7,1100000,45%,2700,1500,1548277,11,OK
7,1100000,45%,2700,2000,1304433,11,OK
7,1100000,45%,2800,1500,1683825,10,OK
7,1100000,45%,2800,2000,1439981,11,OK
7,1100000,45%,2900,1500,1819373,10,OK
7,1100000,45%,2900,2000,1575530,10,OK
7,1100000,45%,3000,1500,1954922,9,OK
7,1100000,45%,3000,2000,1711078,10,OK
7,1100000,45%,3100,1500,2090470,9,OK
7,1100000,45%,3100,2000,1846627,10,OK
7,1100000,50%,2200,1500,1120594,12,OK
7,1100000,50%,2200,2000,849656,14,
7,1100000,50%,2300,1500,1271203,12,OK
7,1100000,50%,2300,2000,1000266,13,
7,1100000,50%,2400,1500,1421812,11,OK
7,1100000,50%,2400,2000,1150875,12,OK
7,1100000,50%,2500,1500,1572422,10,OK
7,1100000,50%,2500,2000,1301484,12,OK
7,1100000,50%,2600,1500,1723031,10,OK
7,1100000,50%,2600,2000,1452094,11,OK
7,1100000,50%,2700,1500,1873641,9,OK
7,1100000,50%,2700,2000,1602703,10,OK
7,1100000,50%,2800,1500,2024250,9,OK
7,1100000,50%,2800,2000,1753312,10,OK
7,1100000,50%,2900,1500,2174859,9,OK
7,1100000,50%,2900,2000,1903922,9,OK
7,1100000,50%,3000,1500,2325469,8,OK
7,1100000,50%,3000,2000,2054531,9,OK
7,1100000,50%,3100,1500,2476078,8,OK
7,1100000,50%,3100,2000,2205141,9,OK
8,1164286,30%,2200,1500,356,34,
8,1164286,30%,2200,2000,-162206,51,
8,1164286,30%,2300,1500,90722,29,
8,1164286,30%,2300,2000,-71841,40,
8,1164286,30%,2400,1500,181087,26,
8,1164286,30%,2400,2000,18525,33,
8,1164286,30%,2500,1500,271453,23,
8,1164286,30%,2500,2000,108891,28,
8,1164286,30%,2600,1500,361819,21,
8,1164286,30%,2600,2000,199256,25,
8,1164286,30%,2700,1500,452184,19,
8,1164286,30%,2700,2000,289622,22,
8,1164286,30%,2800,1500,542550,18,
8,1164286,30%,2800,2000,379987,20,
8,1164286,30%,2900,1500,632916,17,
8,1164286,30%,2900,2000,470353,19,
8,1164286,30%,3000,1500,723281,16,
8,1164286,30%,3000,2000,560719,18,
8,1164286,30%,3100,1500,813647,15,
8,1164286,30%,3100,2000,651084,16,
8,1164286,35%,2200,1500,250416,24,
8,1164286,35%,2200,2000,60759,31,
8,1164286,35%,2300,1500,355842,21,
8,1164286,35%,2300,2000,166186,26,
8,1164286,35%,2400,1500,461269,19,
8,1164286,35%,2400,2000,271612,23,
8,1164286,35%,2500,1500,566695,17,
8,1164286,35%,2500,2000,377039,21,
8,1164286,35%,2600,1500,672122,16,
8,1164286,35%,2600,2000,482466,19,
8,1164286,35%,2700,1500,777548,15,
8,1164286,35%,2700,2000,587892,17,
8,1164286,35%,2800,1500,882975,14,
8,1164286,35%,2800,2000,693319,16,
