シナリオ,月(開業後),フェーズ,稼働率(510h分母),予約時間h,予約件数(4h/件),割引率,平均単価(定価ベース),売上,ポータル手数料,手取り売上,清掃費,家賃,その他固定費,営業損益,累積営業損益,回収残(累積-110万),回収月,運転資金残高(70万+累積),資金ライン35万割れ
目標,1,P3立ち上げ,10.0%,51.0,12.8,25%,2700,103275,-30982,72292,-19125,-70000,-45000,-61832,-61832,-1161832,,638168,
目標,2,P3立ち上げ,15.0%,76.5,19.1,0%,2700,206550,-61965,144585,-28688,-70000,-45000,898,-60935,-1160935,,639065,
目標,3,P3立ち上げ,20.0%,102.0,25.5,0%,2700,275400,-82620,192780,-38250,-70000,-45000,39530,-21405,-1121405,,678595,
目標,4,P4最適化,23.3%,119.0,29.8,0%,2700,321300,-96390,224910,-44625,-70000,-45000,65285,43880,-1056120,,743880,
目標,5,P4最適化,26.7%,136.0,34.0,0%,2700,367200,-110160,257040,-51000,-70000,-45000,91040,134920,-965080,,834920,
目標,6,P4最適化,30.0%,153.0,38.2,0%,2700,413100,-123930,289170,-57375,-70000,-45000,116795,251715,-848285,,951715,
目標,7,P5安定化,31.7%,161.5,40.4,0%,2700,436050,-130815,305235,-60562,-70000,-45000,129672,381388,-718612,,1081388,
目標,8,P5安定化,33.3%,170.0,42.5,0%,2700,459000,-137700,321300,-63750,-70000,-45000,142550,523938,-576062,,1223938,
目標,9,P5安定化,35.0%,178.5,44.6,0%,2700,481950,-144585,337365,-66938,-70000,-45000,155428,679365,-420635,,1379365,
目標,10,P5安定化,36.7%,187.0,46.8,0%,2700,504900,-151470,353430,-70125,-70000,-45000,168305,847670,-252330,,1547670,
目標,11,P5安定化,38.3%,195.5,48.9,0%,2700,527850,-158355,369495,-73312,-70000,-45000,181182,1028852,-71148,,1728852,
目標,12,P5安定化,40.0%,204.0,51.0,0%,2700,550800,-165240,385560,-76500,-70000,-45000,194060,1222912,122912,回収,1922912,
目標,13,2年目,40.0%,204.0,51.0,0%,2700,550800,-165240,385560,-76500,-70000,-45000,194060,1416972,316972,,2116972,
目標,14,2年目,40.0%,204.0,51.0,0%,2700,550800,-165240,385560,-76500,-70000,-45000,194060,1611032,511032,,2311032,
目標,15,2年目,40.0%,204.0,51.0,0%,2700,550800,-165240,385560,-76500,-70000,-45000,194060,1805092,705092,,2505092,
目標,16,2年目,40.0%,204.0,51.0,0%,2700,550800,-165240,385560,-76500,-70000,-45000,194060,1999152,899152,,2699152,
目標,17,2年目,40.0%,204.0,51.0,0%,2700,550800,-165240,385560,-76500,-70000,-45000,194060,2193212,1093212,,2893212,
